10011100                        		97		8
11000101                        		96		8
01010001                        		96		8
11011010                        		93		8
11001111                        		93		8
01110001                        		93		8
00111110                        		93		8
00001101                        		92		8
00111010                        		91		8
10010001                        		90		8
00010000                        		9		8
00100100                        		89		8
00010110                        		89		8
10001100                        		88		8
10000011                        		87		8
00010111                        		87		8
11111010                        		85		8
00000011                        		85		8
10111010                        		83		8
01011110                        		83		8
11111001                        		82		8
11011100                        		82		8
10001000                        		82		8
11100110                        		81		8
00110101                        		81		8
01001111                        		77		8
10000000                        		76		8
01011000                        		76		8
10001111                        		75		8
01001011                        		73		8
00001110                        		73		8
01010101                        		72		8
00011011                        		68		8
00100001                        		67		8
11110110                        		64		8
10111110                        		64		8
11011110                        		63		8
00101101                        		61		8
01111110                        		60		8
00000101                        		60		8
11100101                        		6		8
01110011                        		6		8
01001110                        		6		8
00011010                        		6		8
11100011                        		56		8
10011101                        		55		8
01100010                        		54		8
11100100                        		53		8
10110101                        		52		8
00100000                        		52		8
11110100                        		50		8
01010011                        		50		8
10001110                        		5		8
00001111                        		5		8
10101101                        		48		8
01001100                        		47		8
00100111                        		47		8
01101111                        		45		8
11010100                        		42		8
11011000                        		40		8
10110001                        		40		8
10010100                        		40		8
11100000                        		38		8
00001011                        		38		8
00110000                        		34		8
11001001                        		33		8
10111000                        		33		8
00111111                        		32		8
11101110                        		3		8
11111011                        		29		8
00101010                        		29		8
00001001                        		29		8
01100011                        		28		8
01011111                        		254		8
01001000                        		254		8
11111110                        		250		8
01110000                        		250		8
01010110                        		250		8
01001010                        		250		8
10100001                        		25		8
01101010                        		25		8
00110110                        		25		8
10100011                        		249		8
00110100                        		247		8
11001010                        		245		8
01000000                        		245		8
11101010                        		244		8
10011110                        		244		8
11101000                        		241		8
10100010                        		240		8
00000111                        		240		8
11110010                        		239		8
11101111                        		239		8
11001110                        		238		8
01011100                        		237		8
00000100                        		237		8
11110011                        		235		8
11111111                        		234		8
11000111                        		234		8
11010111                        		232		8
00011000                        		231		8
11100001                        		23		8
10011000                        		229		8
11001100                        		227		8
11010010                        		226		8
10101111                        		226		8
10110010                        		225		8
00010010                        		225		8
11000110                        		224		8
10101100                        		223		8
10001001                        		223		8
01000110                        		223		8
11011101                        		220		8
11101001                        		22		8
10010101                        		22		8
01001101                        		22		8
00100101                        		22		8
00111101                        		219		8
01111100                        		218		8
00010011                        		218		8
11000000                        		215		8
00100010                        		215		8
00011101                        		213		8
00000110                        		213		8
01110010                        		212		8
00110001                        		212		8
